"filename", "language", "CSS", "Markdown", "JSON", "JavaScript", "wxml", "TypeScript", "XML", "comment", "blank", "total"
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notice-bar\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notice-bar\index.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 1, 124
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notice-bar\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notice-bar\index.wxml", "wxml", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notice-bar\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notify\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notify\index.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 1, 46
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notify\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notify\index.wxml", "wxml", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notify\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notify\notify.d.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\notify\notify.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
